,Nominative,accusative_nom,accusative_gen,genitive,partitive,inessive,elative,illative,adessive,ablative,allative,essive,translative,abessive
1869,asiantuntemus,asiantuntemus,asiantuntemuksen,asiantuntemuksen,asiantuntemusta,asiantuntemuksessa,asiantuntemuksesta,asiantuntemukseen,asiantuntemuksella,asiantuntemukselta,asiantuntemukselle,asiantuntemuksena,asiantuntemukseksi,asiantuntemuksetta
1870,makkara,makkara,makkaran,makkaran,makkaraa,makkarassa,makkarasta,makkaraan,makkaralla,makkaralta,makkaralle,makkarana,makkaraksi,makkaratta
1871,puuha,puuha,puuhan,puuhan,puuhaa,puuhassa,puuhasta,puuhaan,puuhalla,puuhalta,puuhalle,puuhana,puuhaksi,puuhatta
1872,kynttilä,kynttilä,kynttilän,kynttilän,kynttilää,kynttilässä,kynttilästä,kynttilään,kynttilällä,kynttilältä,kynttilälle,kynttilänä,kynttiläksi,kynttilättä
1873,itseluottamus,itseluottamus,itseluottamuksen,itseluottamuksen,itseluottamusta,itseluottamuksessa,itseluottamuksesta,itseluottamukseen,itseluottamuksella,itseluottamukselta,itseluottamukselle,itseluottamuksena,itseluottamukseksi,itseluottamuksetta
1874,erikoiskoe,erikoiskoe,erikoiskokeen,erikoiskokeen,erikoiskoetta,erikoiskokeessa,erikoiskokeesta,erikoiskokeeseen,erikoiskokeella,erikoiskokeelta,erikoiskokeelle,erikoiskokeena,erikoiskokeeksi,erikoiskokeetta
1875,yhteistoiminta,yhteistoiminta,yhteistoiminnan,yhteistoiminnan,yhteistoimintaa,yhteistoiminnassa,yhteistoiminnasta,yhteistoimintaan,yhteistoiminnalla,yhteistoiminnalta,yhteistoiminnalle,yhteistoimintana,yhteistoiminnaksi,yhteistoiminnatta
1876,pommi-isku,pommi-isku,pommi-iskun,pommi-iskun,pommi-iskua,pommi-iskussa,pommi-iskusta,pommi-iskuun,pommi-iskulla,pommi-iskulta,pommi-iskulle,pommi-iskuna,pommi-iskuksi,pommi-iskutta
1877,profiili,profiili,profiilin,profiilin,profiilia,profiilissa,profiilista,profiiliin,profiililla,profiililta,profiilille,profiilina,profiiliksi,profiilitta
1878,keula,keula,keulan,keulan,keulaa,keulassa,keulasta,keulaan,keulalla,keulalta,keulalle,keulana,keulaksi,keulatta
1879,kuvataide,kuvataide,kuvataiteen,kuvataiteen,kuvataidetta,kuvataiteessa,kuvataiteesta,kuvataiteeseen,kuvataiteella,kuvataiteelta,kuvataiteelle,kuvataiteena,kuvataiteeksi,kuvataiteetta
1880,sänky,sänky,sängyn,sängyn,sänkyä,sängyssä,sängystä,sänkyyn,sängyllä,sängyltä,sängylle,sänkynä,sängyksi,sängyttä
1881,jätevesi,jätevesi,jäteveden,jäteveden,jätevettä,jätevedessä,jätevedestä,jäteveteen,jätevedellä,jätevedeltä,jätevedelle,jätevetenä,jätevedeksi,jätevedettä
1882,luonnos,luonnos,luonnoksen,luonnoksen,luonnosta,luonnoksessa,luonnoksesta,luonnokseen,luonnoksella,luonnokselta,luonnokselle,luonnoksena,luonnokseksi,luonnoksetta
1883,vastustus,vastustus,vastustuksen,vastustuksen,vastustusta,vastustuksessa,vastustuksesta,vastustukseen,vastustuksella,vastustukselta,vastustukselle,vastustuksena,vastustukseksi,vastustuksetta
1884,pohjoisosa,pohjoisosa,pohjoisosan,pohjoisosan,pohjoisosaa,pohjoisosassa,pohjoisosasta,pohjoisosaan,pohjoisosalla,pohjoisosalta,pohjoisosalle,pohjoisosana,pohjoisosaksi,pohjoisosatta
